File List			Date:   8.11.1918    Time:  03:38

File Name: D:\ESR-DATA\PRAKTI~1\WISE1819\TEAM3~1\TAG1~1\sp01.spc

 Data Point  Value[G]     Intensity
-----------------------------------------
       0    3336.0000    -1.1607e+001
       1    3336.0489     4.3926e+000
       2    3336.0978     3.3926e+000
       3    3336.1466    -1.1607e+001
       4    3336.1955    -2.0607e+001
       5    3336.2444    -9.6074e+000
       6    3336.2933    -1.2607e+001
       7    3336.3421    -1.1607e+001
       8    3336.3910    -1.4607e+001
       9    3336.4399     3.3926e+000
      10    3336.4888    -2.6074e+000
      11    3336.5376    -6.6074e+000
      12    3336.5865     3.9258e-001
      13    3336.6354    -1.6074e+000
      14    3336.6843    -4.6074e+000
      15    3336.7331    -1.4607e+001
      16    3336.7820    -6.6074e+000
      17    3336.8309    -1.7607e+001
      18    3336.8798    -1.6074e+000
      19    3336.9286    -1.4607e+001
      20    3336.9775    -1.6607e+001
      21    3337.0264    -3.6074e+000
      22    3337.0753    -2.7607e+001
      23    3337.1241    -9.6074e+000
      24    3337.1730    -1.3607e+001
      25    3337.2219    -1.0607e+001
      26    3337.2708     5.3926e+000
      27    3337.3196    -1.5607e+001
      28    3337.3685    -1.3607e+001
      29    3337.4174     6.3926e+000
      30    3337.4663    -6.6074e+000
      31    3337.5152     2.3926e+000
      32    3337.5640     4.3926e+000
      33    3337.6129    -1.0607e+001
      34    3337.6618     4.3926e+000
      35    3337.7107    -1.0607e+001
      36    3337.7595    -6.6074e+000
      37    3337.8084     5.3926e+000
      38    3337.8573    -1.4607e+001
      39    3337.9062    -4.6074e+000
      40    3337.9550    -5.6074e+000
      41    3338.0039    -4.6074e+000
      42    3338.0528    -2.6074e+000
      43    3338.1017    -3.6074e+000
      44    3338.1505     1.5393e+001
      45    3338.1994    -1.3607e+001
      46    3338.2483    -6.0742e-001
      47    3338.2972     1.3926e+000
      48    3338.3460    -8.6074e+000
      49    3338.3949    -1.7607e+001
      50    3338.4438    -1.6074e+000
      51    3338.4927    -7.6074e+000
      52    3338.5415     1.3926e+000
      53    3338.5904    -4.6074e+000
      54    3338.6393    -2.6074e+000
      55    3338.6882    -1.0607e+001
      56    3338.7370    -8.6074e+000
      57    3338.7859    -4.6074e+000
      58    3338.8348     9.3926e+000
      59    3338.8837    -8.6074e+000
      60    3338.9326    -4.6074e+000
      61    3338.9814    -1.6074e+000
      62    3339.0303     6.3926e+000
      63    3339.0792     9.3926e+000
      64    3339.1281    -4.6074e+000
      65    3339.1769     1.0393e+001
      66    3339.2258     1.3926e+000
      67    3339.2747    -2.6074e+000
      68    3339.3236     9.3926e+000
      69    3339.3724     6.3926e+000
      70    3339.4213     9.3926e+000
      71    3339.4702     1.7393e+001
      72    3339.5191     2.4393e+001
      73    3339.5679     2.2393e+001
      74    3339.6168     2.5393e+001
      75    3339.6657     3.2393e+001
      76    3339.7146     3.8393e+001
      77    3339.7634     4.2393e+001
      78    3339.8123     6.0393e+001
      79    3339.8612     4.4393e+001
      80    3339.9101     4.9393e+001
      81    3339.9589     6.0393e+001
      82    3340.0078     7.1393e+001
      83    3340.0567     8.0393e+001
      84    3340.1056     7.5393e+001
      85    3340.1544     1.1139e+002
      86    3340.2033     1.1439e+002
      87    3340.2522     1.1239e+002
      88    3340.3011     1.1339e+002
      89    3340.3500     1.0639e+002
      90    3340.3988     1.2939e+002
      91    3340.4477     1.2139e+002
      92    3340.4966     1.2239e+002
      93    3340.5455     1.3439e+002
      94    3340.5943     1.2539e+002
      95    3340.6432     1.2539e+002
      96    3340.6921     1.2439e+002
      97    3340.7410     1.2539e+002
      98    3340.7898     1.1339e+002
      99    3340.8387     1.1639e+002
     100    3340.8876     9.5393e+001
     101    3340.9365     9.4393e+001
     102    3340.9853     9.2393e+001
     103    3341.0342     8.0393e+001
     104    3341.0831     8.2393e+001
     105    3341.1320     8.4393e+001
     106    3341.1808     5.6393e+001
     107    3341.2297     4.7393e+001
     108    3341.2786     4.5393e+001
     109    3341.3275     4.3393e+001
     110    3341.3763     3.7393e+001
     111    3341.4252     3.0393e+001
     112    3341.4741     4.0391e+001
     113    3341.5230     3.8398e+001
     114    3341.5718     4.1387e+001
     115    3341.6207     4.9395e+001
     116    3341.6696     5.0395e+001
     117    3341.7185     7.2387e+001
     118    3341.7674     8.6398e+001
     119    3341.8162     1.1539e+002
     120    3341.8651     1.6039e+002
     121    3341.9140     1.7740e+002
     122    3341.9629     2.2338e+002
     123    3342.0117     2.7341e+002
     124    3342.0606     3.4138e+002
     125    3342.1095     3.9239e+002
     126    3342.1584     4.8840e+002
     127    3342.2072     5.7439e+002
     128    3342.2561     6.7039e+002
     129    3342.3050     7.7840e+002
     130    3342.3539     8.9839e+002
     131    3342.4027     1.0434e+003
     132    3342.4516     1.1934e+003
