,index,Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
0,8,1106506402,2015-12-22T00:00:00,945.0,,,CA,201605.0,,CHEV,PA,BR,721 S WESTLAKE,2A75,1.0,8069AA,NO STOP/STAND AM,93.0,99999.0,99999.0
1,114,1112058846,2015-12-12T00:00:00,1920.0,,,CA,201506.0,,HOND,PA,BR,7610 WOODLEY AVE,2C12,11.0,5204A,EXPIRED TAGS,25.0,6415432.1,1898663.3
2,118,1112058894,2015-12-17T00:00:00,1920.0,,,CA,201509.0,,TOYO,PA,BR,7610 WOODLEY AVE,2C12,11.0,5204A,EXPIRED TAGS,25.0,6415432.1,1898663.3
3,8012,1109359252,2015-12-22T00:00:00,820.0,,,CA,201211.0,,INFI,PA,BR,910 W 84TH ST,12A49,1.0,8069BS,NO PARK/STREET CLEAN,73.0,6473855.9,1808839.4
4,8044,1109579730,2015-12-28T00:00:00,926.0,,,CA,201504.0,,OLDS,PA,BR,1029 W 66TH ST,00545,55.0,8069BS,NO PARK/STREET CLEAN,73.0,6473099.9,1814925.7
5,8045,1109579741,2015-12-28T00:00:00,927.0,,,CA,201504.0,,OLDS,PA,BR,1029 W 66TH ST,00545,55.0,5204A,EXPIRED TAGS,25.0,6473099.9,1814925.7
6,8122,1110456760,2015-12-24T00:00:00,1035.0,,,CA,201509.0,,FORD,PA,BR,4300 N MERCURY AVE,4FBL1,1.0,4000A1,NO EVIDENCE OF REG,50.0,6502892.2,1853572.8
7,8155,1110472366,2015-12-19T00:00:00,750.0,,,CA,201502.0,,CHEV,PA,BR,8805 VARIEL AVE,17A81,1.0,4000A1,NO EVIDENCE OF REG,50.0,6382454.0,1906410.4
8,8171,1110490076,2015-12-20T00:00:00,1115.0,,,CA,201603.0,,KIA,PA,BR,GLENOAKS/BROWNELL ST,16A23,1.0,8069B,NO PARKING,73.0,99999.0,99999.0
9,8373,1113971261,2015-12-28T00:00:00,1713.0,,,CA,,,FRTL,TR,BR,914 S BARRINGTON AVE,00123,51.0,8069AP,NO STOP/STAND PM,93.0,6420756.4,1842098.1
